Ab.	Abeille
Ashm.	Ashmead
Atan.	Atanassov
Bald.	Baldini
#Bell.	Baldini
Bequard & Yasu.	Bequaert & Yasumatsu
Berl.	Berland
Bern.	Bernard
Bir.	Birula
Bl.	Blüthgen
Bluethg.	Blüthgen
Blüthgen	Blüthgen
Br.	Brullé
Bréth.	Brèthes
Cam.	Cameron
Carpenter & Grim.	Carpenter & Grimaldi
Cheesm.	Cheesman
Cheesm.i.l.	Cheesman
Coqu.	Coquebert
Cuv.	Cuvier
Deg.	De Geer
Drog.	Drogoszewski
Dufour & Per.	Dufour & Pérez
E.André	E.André
E.Saundas	E.Saunders
E.Saunders	E.Saunders
Erichs.	Erichson
Eversm.	Eversmann
F.	Fabricius
F.Rudow	F.Rudow
Fert.	Ferton
Friv.	Frivaldszky
Germ.	Germar
Gerst.	Gerstaecker
Gess, F.	Gess
Gess. F.	Gess
Gir.	Giraud
Guiglia & Cap.	Guiglia & Capra
Guill.	Le Guillou
H.Brauns	H.Brauns
H.S.	Herrich-Schäffer
Hayw.	Hayward
Med.	Medina
Ish., Yam. & Wagn.	Ishikawa, Yamane & Wagner
Ishik.	Ishikawa
Klug Erichs.	Klug  & Erichson
Kok.	Kokujev
Kostylev i.l.	Kostylev i.l.
Kromb.	Krombein
Kuzn.	Kuznetzov
L.	Linnaeus
L.Christ	Christ
Lap.	Lepeletier
Leach Sm.	Smith
Licht.	Lichtenstein
(Licht.) Weber	(Lichtenstein) Weber
Luc.	Lucas
Maede-Waldo.	Maede-Waldo
Mats.	Matsmura
Mc Farl.	McFarland
Meun.	Meunier
Mics.	?
Mor.	Moravitz
Nouvel & Rib.	Nouvel & Ribaut
Pal. de Beauv.	Palisot de Beauvois
Pér.	Pérez
Pèr.	Pérez
Prov.	Provancher
Rad.	Radoszkowski
Ratz.	Ratzeburg
Retz.	Ratzeburg
Rich. Almeida & Ca	Richards in Almeida & Castro
Rits.	Ritsema
Rossi.	Rossi
S.Saunders	S.Saunders
Sakag.	Sakagami
Sakagami & Yoshik.	Sakagami & Yoshikawa
Saund.	E. Saunders
de Saussure	de Saussure
Schlett.	Schletterer
Schm.	Schmiedeknecht
Schout.	Schouteden
Sem.	Semenow
Shipp.	Shipp
Sk.Yamane & Gusenleitner	Sk.Yamane & Gusenleitner
Sk.Yamane	Sk.Yamane & Gusenleitner
Sk.Yamane & Kusigem.	Sk.Yamane & Kusigemati
Sk.Yamane	Sk.Yamane
Sk.Yamane & Gusenleitner	Sk.Yamane & Gusenleitner
Sk.Yamane & Kusigem.	Sk.Yamane & Kusigemati
Sk.Yamane & Soi.Yam.	Sk.Yamane & Soi.Yamane
Sk.Yamane & Tano	Sk.Yamane & Tano
Sk.Yamane	Sk.Yamane
Smeth. & Carp.	Smethrust & Carpenter
Tano & Yam.	Tano & Yamane
Taschenb.	Taschenberg
Tos.	Tosawa
Turill.	Turillazzi
Turn.	Turner
Turner & Carf.	Turillazi & Carfì
Tussac H.	Tussac
Vecht i.l.	van der Vecht i.l.
Vill.	Villers
Walk.	Walker
Wesm.	Wesmael
Yas.	Yasumatsu
Yosh.	Yoshimoto
Yoshik.	Yoshikawa
Zev.	Zavattari
Zimm.	Zimmermann
